account_id,balance,reward
account_rdx16ympypu5flyryrp360xpkj7svh75yqt9twg3hmkkxdpk79r97t6ln9,2500000,2883.6006624002102
account_rdx169h7r09xppst65k9f705r7npr4285f99x4assqt5vpyc4v95p30mcm,500000,576.720132480042
account_rdx16x0s44zry5hn9hacquzxjwjfy5dvevklrmdu48hcjvylun3g3mm58q,500000,576.720132480042
account_rdx16872qlxchfr0wwyqum5ym3yuc4e8ss873su95y6jg2ekczmgpz8yf9,50000,57.6720132480042
account_rdx12xjv64k0y556vgn3d42g8vknq8fhwvkpdy23uh6wzqkcpj89t3ng3r,50000,57.6720132480042
account_rdx168raudh2avum7pdktvtta894f4h93kqkpkhslwzacw7tp0rf9s3nx2,45000,51.90481192320378
account_rdx16xmm5m3d0h565qwqr4dje7pqk3ce4qqa2hc0atme0ednq5u7rx8fya,41000,47.29105086336345
account_rdx16yjl64ck45czwry9lmpyt5emnua68x6l9cynlmqlhpgkaa5jz8tzd4,30000,34.60320794880252
account_rdx16ygc46zgw8vvzfg7306d7vrddfxemm8vtd4s45ug4c2yjcfyjagl4n,28000,32.296327418882356
account_rdx16830urlwv9vtw224tdupafydlt9r66742uk6sz40qr6rr09tw5cjyn,25000,28.8360066240021
account_rdx16ysrx8k5nlece3592drtu8n7pf3k8c7jew90lu9hxsm09c8ee69nyd,24950,28.778334610754094
account_rdx1686glfx86e308rrmkrp6h644ncqay3w80dhtul0yffduk0qp8sts5k,20000,23.06880529920168
account_rdx128hg4f0raarsfagzxh7m4gmm8vanj7ju7z8lu255dugnnfaefau2t7,20000,23.06880529920168
account_rdx168hzhhhswhymhw92wxlgu4w54akthf2mh02m0xfnc7r794atdzeq5d,14500,16.72488384192122
account_rdx16y0ypr2pmdhf05xsq0vhgqehg5cj0902jg4kpa0nx4qp85tfm2spg9,12000,13.841283179521009
account_rdx168lx667y0fq8a6rtra06tjandyj2xmmnavljyl4r33gcwrp900m7sh,10000,11.53440264960084
account_rdx16xahafrnrdjr2659emql8htqgm9yx3c93w99kj0ahsuq49ervxw3ua,5000,5.76720132480042
account_rdx168hthlun820pm4506dgvmmgn58fzj3cp6g35lmja5dx9kpk3xhx72f,5000,5.76720132480042
account_rdx168zg3a2ftml8v44c063nrpku6rug58yfxsu26pkhkc7ujgm3x6thau,5000,5.76720132480042
account_rdx16xj28wd4hrvm5c58rx6us622g8e972y43pa2hvtqlhqefg24xqucsf,4500,5.1904811923203775
account_rdx12yd7td4jcj9w7hzqteeqg9wd4yhzh467anmv4s5nz4dajym87tjq9d,4500,5.1904811923203775
account_rdx16yygmg35tg8e2jm9sq7807vmascac4ysz4t4tpt38y3p8a0s30h4d0,4200,4.844449112832353
account_rdx168mpgtkyazsaw6xf24ryvmnk6mghq2yemen068eh6hj6pz0dusakv0,3350,3.8640248876162815
account_rdx168zguu0w84a8p5aydc6muwvpz9cd25gr60h59lwaneht3mr6wlepan,3000,3.460320794880252
account_rdx169a3tc7c0w2jz64aqc6j3fj3aw5y9tgdknv5v79ce6janx9jcenrpn,3000,3.460320794880252
account_rdx16xgkv0kx22l6gjyx7hwklavcza8mcqgzad3uwyddyt9fujtandtz06,3000,3.460320794880252
account_rdx1694ullvfs94thnzrl6dplw3mxw5dyalsdv978t74ycp6zwayecenw5,2500,2.88360066240021
account_rdx16xdcqs2dexdhd33mw79jklqaqn02n9m0p6p97u88qn52chupsqd583,2000,2.306880529920168
account_rdx16xn8kqsac9fe6wyux8xk7w4m9647mwdr96966df726f2umd42ewgye,2000,2.306880529920168
account_rdx12yr634z7xtpjvkk3jzrw94k9zhgq5glwz55wd6nn7lhgkzffwnum0r,1500,1.730160397440126
account_rdx1695v9rv2wcvj4yq98t45qntszzp5j2nsza3ur02merwlzqacn6mds6,1000,1.153440264960084
account_rdx16x2a4jc7cxjc7tfx9f74esqu65argp64k3ydx7jqc9tt475t8httnt,1000,1.153440264960084
account_rdx168srcupcn8t02stzfkdtc2hcgp7ky5f377n0tdreurw5g9k3527q64,1000,1.153440264960084
account_rdx169fm8vyar8eyx9m6ykncuncxxhlxjuex40k6m94ncx75dg6dv363sh,1000,1.153440264960084
account_rdx169c59m6cgjwkpvjfh6mnpwvprcsflzvggnyhqx5p0cxpgdrfrspjvy,1000,1.153440264960084
account_rdx16y93d5sc54sh3f6ph5czng422ge8ak7llfrgv04tcv0lr6q3ncdkrj,1000,1.153440264960084
account_rdx168qqt056pcvn5fjy9kdwejnp9fyw35d9t7urgfklpc8awfmenns88k,1000,1.153440264960084
account_rdx16yr77v5u8tld2u20zzfqs59zvuqzswcgrnutv5qwf7jhmk7kr2jhe5,500,0.576720132480042
account_rdx169ue6f7nf989kvpm9am75n8jjsp3x92ecsdxq47slqddrgyzgthfzc,2,0.002306880529920168
