account_id,balance,reward
account_rdx16ympypu5flyryrp360xpkj7svh75yqt9twg3hmkkxdpk79r97t6ln9,2000000,1666.004164041723
account_rdx16y0rueqqkyvkhc0cyr2x7cdktdkpy4dzhmzxja5xtwnw76fu3pfjpa,1000000,833.0020820208615
account_rdx169h7r09xppst65k9f705r7npr4285f99x4assqt5vpyc4v95p30mcm,500000,416.50104101043075
account_rdx16x0s44zry5hn9hacquzxjwjfy5dvevklrmdu48hcjvylun3g3mm58q,500000,416.50104101043075
account_rdx1693n3ypcpmjj0s4mm0ukh4ymj3t5rtede00zltnfdc9fy9cpha5pxk,220000,183.26045804458954
account_rdx168g9kkamqznzyu9ztrya2n08fz58ctzl0xck6w06n788qj4yh5u5em,200000,166.6004164041723
account_rdx169vwxkklyurz0wxulgpx4v0zxv3ezzajlv2ynslcccs2vamwatewpy,106000,88.29822069421132
account_rdx168ah2uknjwughe3kj8ecajwumuk3faffy8tuh5amjr927qz7003q89,100000,83.30020820208615
account_rdx16ymtkrvgkejdqvujzen00zp0dvcj3c620jadqyxfpmqvupl9hx7x3a,100000,83.30020820208615
account_rdx168uvufanql3g24pfrxfj80vlmyj9thmmw7uf7dq7afywazhn2hm0fj,78000,64.9741623976272
validator_rdx1sdz3y8g574nuwnp4tcql7aysln4z2zml4g5x6cetvqn40jc9jvstv2,52293.4433361334,43.56054717503907
account_rdx12yqn289awaxal9gu8grepweqym7jeqql7jc7p8cc42tlm5hufrmmm6,51676,43.046215590510045
account_rdx12xjv64k0y556vgn3d42g8vknq8fhwvkpdy23uh6wzqkcpj89t3ng3r,50000,41.65010410104308
account_rdx16872qlxchfr0wwyqum5ym3yuc4e8ss873su95y6jg2ekczmgpz8yf9,50000,41.65010410104308
account_rdx168raudh2avum7pdktvtta894f4h93kqkpkhslwzacw7tp0rf9s3nx2,45000,37.485093690938776
account_rdx16xmm5m3d0h565qwqr4dje7pqk3ce4qqa2hc0atme0ednq5u7rx8fya,41000,34.15308536285532
