account_id,discriminator,balance,reward
account_rdx168zg3a2ftml8v44c063nrpku6rug58yfxsu26pkhkc7ujgm3x6thau,global_account_component,5000,4180.881664325372
account_rdx16xgkv0kx22l6gjyx7hwklavcza8mcqgzad3uwyddyt9fujtandtz06,global_account_component,1600,1337.8821325841193
